# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
0	0.0	268.5547951841727
1	0.0	102.08845406305045
2	0.0	11716.699681128375
3	0.0	193.69688956066966
4	0.0	3217.854852671735
5	0.0	1945.3811993589625
6	0.0	378.13460535835475
7	0.0	7970.108514651656
8	0.0	1171.5844330610707
9	0.0	396.6556682717055
10	0.0	96.0254775127396
11	0.0	4216.096714837477
12	0.0	2661.67261719238
13	0.0	1791.440655826591
14	0.0	163.69503387250006
15	0.0	412.2285450575873
16	0.0	639.8329305229709
17	0.0	3522.854457376525
18	0.0	4792.293439153582
19	0.0	813.22527222801
20	0.0	177.98728263005614
21	0.0	1760.1626786636189
22	0.0	321.9664773205295
23	0.0	365.9397675655782
24	0.0	31.093679717741907
25	0.0	5382.124272407964
26	0.0	1197.2705068765208
27	0.0	284.27372209262103
28	0.0	11329.949266742915
29	0.0	157.8779851552099
30	0.0	151.2231818633154
31	0.0	33.032186212949455
32	0.0	95.40873719379306
33	0.0	537.4099293258041
34	0.0	920.8150074118748
35	0.0	1643.2995320064947
36	0.0	2519.3763677962124
37	0.0	809.0922551928088
38	0.0	7242.50753771048
39	0.0	1786.815796396695
40	0.0	156.0474921716377
41	0.0	15096.38203016948
42	0.0	1333.0726332496852
43	0.0	534.1265896568075
44	0.0	2685.161418397911
45	0.0	1475.3187241731212
46	0.0	249.64902095962316
47	0.0	11476.100345491432
48	0.0	2212.369315093383
49	0.0	2241.599622182548
50	0.0	904.2558318469673
51	0.0	4378.311006352305
52	0.0	327.0460399799049
53	0.0	1600.3523819381371
54	0.0	318.1106559932232
55	0.0	7583.612470538355
56	0.0	341.82413399685174
57	0.0	4962.410229025409
58	0.0	417.4221287248656
59	0.0	4486.560494056903
60	0.0	3341.7627394665033
61	0.0	1617.6131014944986
62	0.0	4912.449865252711
63	0.0	7816.0452713491395
64	0.0	13578.964386950247
65	0.0	4552.144549670629
66	0.0	380.34453825093806
67	0.0	2099.0800303407013
68	0.0	576.6325637232512
69	0.0	43.92736603040248
70	0.0	8219.607456587255
71	0.0	519.1520417574793
72	0.0	121.60678545478731
73	0.0	435.0246930262074
74	0.0	2912.0092424564064
75	0.0	4451.840860303491
76	0.0	1515.1247149333358
77	0.0	420.97699677105993
78	0.0	80.66954335663468
79	0.0	16010.331687517464
80	0.0	1556.444101384841
81	0.0	1668.3647473109886
82	0.0	12560.56712998543
83	0.0	1130.0530500011519
84	0.0	8350.249676732346
85	0.0	880.1556334365159
86	0.0	251.7785233212635
87	0.0	69.91213094443083
88	0.0	7884.017043281347
89	0.0	5214.7732296725735
90	0.0	9034.326003631577
91	0.0	931.58485123422
92	0.0	2186.9557157624513
93	0.0	13183.683865470812
94	0.0	1961.6977627156302
95	0.0	1120.5730201909319
96	0.0	311.15522352047265
97	0.0	5575.647842139006
98	0.0	14092.120964312926
99	0.0	2303.0778125394136
