# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
0	1.0	0.0
1	1.0	0.0
2	0.75	62178.6759425886
3	1.0	0.0
4	1.0	0.0
5	0.75	63377.54175905138
6	0.75	3476.9090060144663
7	1.0	0.0
8	0.75	24708.797104656696
9	1.0	0.0
10	0.75	34084.59667582065
11	1.0	0.0
12	1.0	0.0
13	0.5	59838.80612696521
14	1.0	0.0
15	0.75	10593.900443986058
16	1.0	0.0
17	1.0	0.0
18	1.0	0.0
19	1.0	0.0
20	1.0	0.0
21	1.0	0.0
22	1.0	0.0
23	1.0	0.0
24	1.0	0.0
25	1.0	0.0
26	1.0	0.0
27	1.0	0.0
28	1.0	0.0
29	0.75	64969.7726899758
30	1.0	0.0
31	1.0	0.0
32	1.0	0.0
33	1.0	0.0
34	1.0	0.0
35	1.0	0.0
36	1.0	0.0
37	1.0	0.0
38	1.0	0.0
39	1.0	0.0
40	1.0	0.0
41	1.0	0.0
42	1.0	0.0
43	1.0	0.0
44	1.0	0.0
45	1.0	0.0
46	1.0	0.0
47	1.0	0.0
48	0.75	29367.492640856653
49	1.0	0.0
50	0.75	48535.167671274394
51	1.0	0.0
52	1.0	0.0
53	0.75	53429.36363769695
54	0.75	49858.39424887672
55	1.0	0.0
56	1.0	0.0
57	1.0	0.0
58	1.0	0.0
59	1.0	0.0
60	1.0	0.0
61	1.0	0.0
62	1.0	0.0
63	1.0	0.0
64	1.0	0.0
65	0.75	33506.93375617266
66	1.0	0.0
67	1.0	0.0
68	1.0	0.0
69	1.0	0.0
70	1.0	0.0
71	0.75	48897.842527367175
72	1.0	0.0
73	0.75	20869.269111193717
74	1.0	0.0
75	1.0	0.0
76	0.0	41457.12130935863
77	1.0	0.0
78	0.75	40261.46160811186
79	1.0	0.0
80	1.0	0.0
81	1.0	0.0
82	1.0	0.0
83	1.0	0.0
84	1.0	0.0
85	1.0	0.0
86	1.0	0.0
87	1.0	0.0
88	0.0	27439.432351267897
89	1.0	0.0
90	1.0	0.0
91	0.75	17265.241460874677
92	1.0	0.0
93	0.5	44163.381026824936
94	1.0	0.0
95	1.0	0.0
96	1.0	0.0
97	0.75	44433.984148316085
98	1.0	0.0
99	1.0	0.0
100	1.0	0.0
101	1.0	0.0
102	1.0	0.0
103	1.0	0.0
104	1.0	0.0
105	1.0	0.0
106	1.0	0.0
107	1.0	0.0
108	1.0	0.0
109	1.0	0.0
110	1.0	0.0
111	1.0	0.0
112	0.5	33018.645748496056
113	1.0	0.0
114	1.0	0.0
115	1.0	0.0
116	1.0	0.0
117	1.0	0.0
118	1.0	0.0
119	0.75	20189.1765659675
120	1.0	0.0
121	1.0	0.0
122	1.0	0.0
123	1.0	0.0
124	0.5	28446.96418195963
125	1.0	0.0
126	1.0	0.0
127	1.0	0.0
128	1.0	0.0
129	0.5	46718.73844997026
130	1.0	0.0
131	1.0	0.0
132	1.0	0.0
133	1.0	0.0
134	0.75	68480.94680113718
135	1.0	0.0
136	1.0	0.0
137	0.75	38875.59202965349
138	1.0	0.0
139	1.0	0.0
140	1.0	0.0
141	1.0	0.0
142	0.75	55776.79682010785
143	1.0	0.0
144	1.0	0.0
145	0.5	67566.86484161764
146	1.0	0.0
147	1.0	0.0
148	1.0	0.0
149	1.0	0.0
150	1.0	0.0
151	1.0	0.0
152	1.0	0.0
153	0.5	9533.479884034023
154	1.0	0.0
155	0.25	16092.300988112887
156	0.75	79922.11006116122
157	1.0	0.0
158	1.0	0.0
159	1.0	0.0
160	1.0	0.0
161	0.75	75579.86212568358
162	1.0	0.0
163	1.0	0.0
164	0.5	54154.2026840616
165	1.0	0.0
166	1.0	0.0
167	1.0	0.0
168	1.0	0.0
169	1.0	0.0
170	1.0	0.0
171	0.75	68992.30116931722
172	1.0	0.0
173	0.75	5813.097573816776
174	0.75	56483.48187003285
175	0.75	40734.424237161875
176	1.0	0.0
177	1.0	0.0
178	1.0	0.0
179	0.75	19835.405450314283
180	0.0	57464.9092273321
181	0.75	36857.08818025887
182	0.75	79094.35618296266
183	1.0	0.0
184	1.0	0.0
185	0.75	28607.25289164111
186	0.0	43895.270246779546
187	1.0	0.0
188	0.0	18100.550239672884
189	1.0	0.0
190	1.0	0.0
191	1.0	0.0
192	1.0	0.0
193	1.0	0.0
194	1.0	0.0
195	1.0	0.0
196	0.0	23634.144883370027
197	1.0	0.0
198	1.0	0.0
199	0.0	27129.675780888647
200	0.0	33479.65745686088
201	1.0	0.0
202	0.25	24130.079568208504
203	0.0	30628.295412985608
204	0.5	22110.317528015003
205	1.0	0.0
206	0.0	7066.060016746633
207	1.0	0.0
208	1.0	0.0
209	1.0	0.0
210	0.75	38207.86280091852
211	1.0	0.0
212	1.0	0.0
213	1.0	0.0
214	0.25	52655.632266153894
215	0.0	18932.986165047623
216	0.0	12115.668465499766
217	1.0	0.0
218	0.75	6509.044873993844
219	0.75	84877.95033305883
220	1.0	0.0
221	0.75	31624.64969791472
222	1.0	0.0
223	0.0	11860.484751057811
224	0.5	54913.92298019491
225	1.0	0.0
226	0.5	20267.998264404014
227	0.0	13316.32259779144
228	0.5	31423.411617521197
229	1.0	0.0
230	0.25	41562.07528462013
231	0.0	11588.165557128377
232	0.75	17816.555607132614
233	1.0	0.0
234	0.5	41594.2630530335
235	1.0	0.0
236	1.0	0.0
237	1.0	0.0
238	1.0	0.0
239	0.0	51271.030749194324
240	0.25	27855.57978491609
241	1.0	0.0
242	1.0	0.0
243	0.0	35995.16745842993
244	0.75	36678.97537257522
245	0.0	17941.853967378847
246	0.25	30349.14245006318
247	0.25	76976.40538432945
248	0.0	21071.497232303955
249	0.0	47319.64151002467
250	0.0	23829.811427858658
251	0.25	42787.2291666766
252	1.0	0.0
253	1.0	0.0
254	0.25	18107.821480371058
255	1.0	0.0
256	1.0	0.0
257	0.0	20911.065939930268
258	0.25	44506.60302117467
259	0.25	31452.45044414575
260	0.0	7818.8067564042285
261	0.25	35818.28915250177
262	0.75	9599.939963314682
263	1.0	0.0
264	0.0	18439.304872765206
265	0.25	24521.694056224078
266	0.75	39408.46648719162
267	0.0	30369.346755440347
268	0.5	52180.15132495202
269	0.0	19292.998419725336
270	0.25	27794.598809288193
271	0.0	22787.54529345315
272	0.0	40371.04202166665
273	0.25	54427.11372332027
274	1.0	0.0
275	0.25	28368.729557842016
276	1.0	0.0
277	0.5	16446.63513218984
278	0.25	48676.50444433093
279	0.0	20153.016879223287
280	0.25	24442.91434592257
281	1.0	0.0
282	1.0	0.0
283	0.25	40104.33586128056
284	0.0	13122.248423867859
285	1.0	0.0
286	0.0	16902.467179577798
287	0.5	40732.73281380534
288	0.25	5264.826577622443
289	1.0	0.0
290	1.0	0.0
291	1.0	0.0
292	0.75	61556.29583215341
293	1.0	0.0
294	0.0	42665.02246132586
295	0.25	19518.08118354529
296	0.0	51849.36224296689
297	0.0	30669.67262874823
298	0.75	374.18083706870675
299	0.25	36802.00312534968
300	0.75	88706.256267149
301	0.0	9351.694328710437
302	0.0	52002.54578422755
303	0.0	13699.935193057172
304	0.25	43752.1495098869
305	0.25	21602.171412669122
306	0.75	88700.95239998773
307	0.25	59541.83034350475
308	1.0	0.0
309	0.0	35377.79095035512
310	0.75	21876.162976957858
311	0.0	34062.57448089309
312	0.0	25743.462162208743
313	1.0	0.0
314	0.0	37283.40343083255
315	0.0	21130.56102360133
316	0.75	79028.3341682516
317	0.0	47854.868569993414
318	0.0	6090.589739964344
319	0.0	19466.103269951418
320	0.0	17854.076954885386
321	0.0	12467.994988081045
322	0.25	33696.65398153787
323	0.0	42869.06320229173
324	0.0	43257.926218328066
325	1.0	0.0
326	1.0	0.0
327	0.5	29831.06781146489
328	0.0	12244.353691930883
329	1.0	0.0
330	0.25	49801.04670440778
331	0.0	12700.297445291653
332	0.25	17996.800277692575
333	1.0	0.0
334	0.0	18130.471725948155
335	1.0	0.0
336	0.0	25275.43830347713
337	0.0	19372.45880975388
338	1.0	0.0
339	1.0	0.0
340	0.0	27961.149641429074
341	0.75	11150.46257711947
342	0.75	31578.737637028098
343	1.0	0.0
344	0.0	35136.779741500504
345	0.5	24208.67411722429
346	0.5	27766.689852112904
347	0.0	14958.45181925688
348	0.0	19271.3964470895
349	0.0	31220.517798210494
350	0.0	25698.63588316366
351	0.0	7928.133956156671
352	0.0	25058.240305515938
353	0.0	7756.992317037657
354	0.0	43347.27870428469
355	0.0	26717.798220342956
356	0.0	48000.89088862296
357	0.25	38584.76555487141
358	0.0	5841.70596068725
359	0.0	6363.803345593624
360	0.0	28622.34510690905
361	0.0	42849.06193672214
362	0.25	39500.8445600979
363	0.0	21180.96599855926
364	0.0	9592.083167866804
365	1.0	0.0
366	0.0	13228.286939905956
367	0.25	26547.10548464209
368	0.0	16141.840150463395
369	0.0	53289.697243017145
370	0.0	12912.019542767666
371	0.0	13300.711394054815
372	0.25	18637.646878293406
373	0.0	23688.065956463106
374	0.0	36808.878677431494
375	0.75	85298.84893028066
376	0.25	40637.91944490125
377	0.0	19312.795095611364
378	0.0	31029.248222126625
379	0.5	68858.76357881352
380	0.0	41648.3248466393
381	0.25	43480.37989654889
382	0.5	55356.40495456755
383	0.0	29292.685069493018
384	0.5	66747.59836867452
385	0.0	8990.746719762683
386	0.0	8842.483801417984
387	0.0	20045.279666315764
388	0.75	62923.19507384673
389	1.0	0.0
390	1.0	0.0
391	0.0	21003.99616768118
392	1.0	0.0
393	0.25	38906.98121751969
394	0.25	39127.57285435995
395	1.0	0.0
396	0.25	33719.419698075704
397	0.25	22561.412428040057
398	1.0	0.0
399	0.0	5201.840209425427
400	0.0	38224.925071466714
401	0.0	25722.607151954435
402	0.0	48438.5989762377
403	0.0	11043.476049555466
404	1.0	0.0
405	0.5	40782.66028990038
406	0.25	26409.730784595013
407	0.0	20962.595075485297
408	0.0	25952.242201543413
409	0.0	34102.4715625681
410	0.25	31704.184951105464
411	0.0	17987.022628542036
412	0.25	34272.21688069403
413	0.0	26809.462650911883
414	0.0	30164.03735568747
415	0.0	49253.10083059594
416	0.0	62411.350105772726
417	0.25	31476.25979532798
418	0.25	43229.8836982809
419	0.0	22280.476715997793
420	0.75	70780.639258679
421	0.0	25969.198910635896
422	0.0	12575.771949952468
423	0.0	31620.54657819681
424	0.0	17330.10735886637
425	0.0	16867.34454135876
426	0.0	21257.906192098744
427	0.0	7447.106227278709
428	1.0	0.0
429	0.0	28837.142611970194
430	0.25	39942.0657629768
431	0.0	54221.756185404956
432	0.0	21554.241374949925
433	0.0	43076.37291809078
434	0.25	47247.15847723807
435	0.0	22254.57117066253
436	0.0	28385.040288907476
437	0.0	43873.49859823007
438	0.5	73016.18961663917
439	1.0	0.0
440	0.0	19757.49144004658
441	0.5	51719.61763151921
442	0.0	11114.598594605923
443	0.0	42689.63049259037
444	0.0	24086.042044800706
445	0.5	41757.702810456976
446	0.0	21387.422758038156
447	0.0	16717.808466637507
448	0.0	34230.919747729786
449	0.0	9618.985301232897
450	0.25	25409.063379901152
451	0.5	39989.9673499167
452	1.0	0.0
453	1.0	0.0
454	0.25	21790.17047661667
455	0.0	17876.784654567018
456	0.0	19060.971618746407
457	0.25	52387.73548308139
458	0.25	27347.76282000045
459	0.0	26891.580571071245
460	0.0	51808.181000407785
461	0.0	33637.233951245435
462	0.0	26451.702258200385
463	0.0	11653.37887313217
464	0.0	11071.103941067122
465	1.0	0.0
466	0.0	26929.392143385485
467	0.25	37789.277482622616
468	0.0	27118.07629931718
469	0.0	26568.420035066083
470	1.0	0.0
471	0.0	20641.737607191317
472	0.0	23185.386955854483
473	0.0	19851.914049242623
474	0.25	43034.21483095735
475	1.0	0.0
476	0.0	2158.250942011364
477	0.0	18733.480761293322
478	0.0	20794.772327761166
479	0.0	16028.424178715795
480	0.0	24651.263764942996
481	1.0	0.0
482	0.0	23605.119592277333
483	0.0	6503.993806196377
484	0.5	26494.49012707919
485	0.0	37496.88600632362
486	0.25	19476.129812033225
487	0.0	16368.774554342963
488	0.0	26932.818613713607
489	0.0	19869.770126300864
490	0.0	23343.151969951577
491	1.0	0.0
492	0.0	28391.719211591408
493	0.5	54567.85559770651
494	0.5	28314.744389615953
495	0.0	36334.18675872963
496	0.25	38805.57502200827
497	0.0	15360.66315160133
