# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
0	1.0	-1
1	1.0	-1
2	0.75	77574.51961701736
3	1.0	-1
4	0.75	43354.80160173029
5	1.0	-1
6	1.0	-1
7	1.0	-1
8	1.0	-1
9	1.0	-1
10	1.0	-1
11	1.0	-1
12	1.0	-1
13	1.0	-1
14	1.0	-1
15	1.0	-1
16	1.0	-1
17	1.0	-1
18	0.75	29699.7697269544
19	1.0	-1
20	1.0	-1
21	1.0	-1
22	1.0	-1
23	1.0	-1
24	1.0	-1
25	0.75	58915.363806299865
26	1.0	-1
27	0.75	1174.8413261957467
28	1.0	-1
29	1.0	-1
30	0.75	17006.020158994943
31	1.0	-1
32	1.0	-1
33	1.0	-1
34	1.0	-1
35	0.75	86734.35866367072
36	1.0	-1
37	1.0	-1
38	0.75	52848.46049873158
39	1.0	-1
40	1.0	-1
41	1.0	-1
42	1.0	-1
43	1.0	-1
44	1.0	-1
45	1.0	-1
46	1.0	-1
47	1.0	-1
48	1.0	-1
49	1.0	-1
50	1.0	-1
51	0.75	79928.38086886331
52	1.0	-1
53	0.75	26739.42065332085
54	1.0	-1
55	1.0	-1
56	1.0	-1
57	0.75	77355.84312770516
58	1.0	-1
59	1.0	-1
60	1.0	-1
61	0.75	68830.05798095837
62	1.0	-1
63	1.0	-1
64	0.75	42060.510587412864
65	1.0	-1
66	1.0	-1
67	1.0	-1
68	1.0	-1
69	0.75	52335.21874202415
70	0.75	41368.66480577737
71	1.0	-1
72	1.0	-1
73	1.0	-1
74	1.0	-1
75	1.0	-1
76	0.0	31743.052197503857
77	0.75	60898.45905127004
78	1.0	-1
79	0.75	21862.395726609975
80	1.0	-1
81	1.0	-1
82	1.0	-1
83	1.0	-1
84	1.0	-1
85	0.75	87413.89575134963
86	1.0	-1
87	1.0	-1
88	0.0	46748.70085448492
89	1.0	-1
90	1.0	-1
91	0.75	11436.088926158845
92	1.0	-1
93	0.0	37185.39682717528
94	1.0	-1
95	1.0	-1
96	1.0	-1
97	0.75	75392.67994975671
98	1.0	-1
99	1.0	-1
100	1.0	-1
101	1.0	-1
102	1.0	-1
103	1.0	-1
104	1.0	-1
105	1.0	-1
106	1.0	-1
107	1.0	-1
108	1.0	-1
109	1.0	-1
110	1.0	-1
111	1.0	-1
112	0.0	39807.74797615595
113	1.0	-1
114	1.0	-1
115	1.0	-1
116	1.0	-1
117	1.0	-1
118	1.0	-1
119	1.0	-1
120	0.75	38605.362348258495
121	1.0	-1
122	1.0	-1
123	1.0	-1
124	0.25	14586.13579099377
125	1.0	-1
126	1.0	-1
127	1.0	-1
128	0.75	63771.670911926776
129	0.0	24861.458976985887
130	1.0	-1
131	0.75	42415.87790707126
132	0.5	53844.47672753595
133	1.0	-1
134	1.0	-1
135	1.0	-1
136	1.0	-1
137	1.0	-1
138	1.0	-1
139	0.75	57764.579195994884
140	0.5	25440.196483163163
141	1.0	-1
142	1.0	-1
143	0.75	37621.14432733506
144	1.0	-1
145	1.0	-1
