# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
0	0.0	5334.5
1	0.0	15123.666666666666
2	0.0	11497.666666666666
3	0.0	6184.333333333333
4	0.0	10842.666666666666
5	0.0	21188.0
6	0.0	15506.333333333334
7	0.0	8126.833333333333
8	0.0	3257.1666666666665
9	0.0	4051.0
10	0.0	4008.1666666666665
11	0.0	22046.833333333332
12	0.0	8371.5
13	0.0	2895.1666666666665
14	0.0	3856.8333333333335
15	0.0	24835.5
16	0.0	3625.0
17	0.0	8750.333333333334
18	0.0	5192.0
19	0.0	10920.0
20	0.0	47764.0
21	0.0	8702.166666666666
22	0.0	3414.0
23	0.0	19620.166666666668
24	0.0	2719.5
25	0.0	12584.0
26	0.0	10714.166666666666
27	0.0	15443.5
28	1.0	-1.0
29	0.0	19016.833333333332
30	0.0	6697.833333333333
31	0.0	35587.166666666664
32	0.0	3713.6666666666665
33	0.0	5619.333333333333
34	0.0	4882.0
35	0.0	7599.333333333333
36	0.0	5469.333333333333
37	0.0	7711.5
38	0.0	7341.0
39	0.0	4682.833333333333
40	0.0	5791.666666666667
41	0.0	14650.833333333334
42	0.0	6134.333333333333
43	1.0	-1.0
44	0.0	9492.833333333334
45	0.0	3641.3333333333335
46	0.0	10401.333333333334
47	0.0	3419.8333333333335
48	0.0	1363.6666666666667
49	0.0	7031.5
50	0.0	7829.5
51	0.0	594.0
52	0.0	7609.166666666667
53	1.0	-1.0
54	0.0	14349.0
55	0.0	11041.166666666666
56	0.0	3395.3333333333335
57	0.0	3992.6666666666665
58	0.0	15691.333333333334
59	0.0	1586.3333333333333
60	0.0	3036.8333333333335
61	0.0	17521.0
62	0.0	12194.333333333334
63	0.0	1625.6666666666667
64	1.0	-1.0
65	0.0	47180.333333333336
66	0.0	2178.5
67	0.0	9514.833333333334
68	0.0	9010.666666666666
69	0.0	16597.333333333332
70	0.0	259.8333333333333
71	0.0	22908.166666666668
72	0.0	6707.833333333333
73	0.0	13251.0
74	0.0	4761.666666666667
75	0.0	3620.0
76	0.0	1140.0
77	0.0	4036.5
78	0.0	10063.666666666666
79	0.0	16771.333333333332
80	0.0	48026.833333333336
81	0.0	4133.0
82	0.0	16032.666666666666
83	0.0	8792.333333333334
84	0.0	10183.666666666666
85	0.0	10195.0
86	0.0	15432.166666666666
87	0.0	52275.0
88	1.0	-1.0
89	0.0	9883.166666666666
90	0.0	15207.833333333334
91	0.0	1274.0
92	0.0	249.16666666666666
93	0.0	3819.0
94	0.0	21010.666666666668
95	0.0	1218.8333333333333
96	0.0	11308.833333333334
97	0.0	2293.6666666666665
98	0.0	5938.833333333333
99	0.0	4029.0
100	0.0	2347.8333333333335
101	0.0	10219.833333333334
102	0.0	3940.1666666666665
103	0.0	735.3333333333334
104	0.0	469.5
105	0.0	4615.833333333333
106	0.0	2019.5
107	0.0	37037.666666666664
108	0.0	3232.1666666666665
109	1.0	-1.0
110	1.0	-1.0
111	0.0	1005.3333333333334
112	0.0	2982.6666666666665
113	0.0	1444.0
114	1.0	-1.0
115	1.0	-1.0
116	0.0	2660.1666666666665
117	0.0	1485.5
118	0.0	2372.3333333333335
119	0.0	1619.0
120	0.0	23174.0
121	1.0	-1.0
122	0.0	2099.6666666666665
123	0.0	29490.0
124	0.0	2920.8333333333335
125	1.0	-1.0
126	0.0	17840.166666666668
127	0.0	256.1666666666667
128	0.0	8837.833333333334
129	0.0	20843.833333333332
130	0.0	4690.166666666667
131	0.0	199.16666666666666
132	0.0	11407.666666666666
133	1.0	-1.0
134	0.0	17271.5
135	0.0	4134.0
136	1.0	-1.0
137	1.0	-1.0
138	0.0	6443.666666666667
139	0.0	4061.3333333333335
140	0.0	14445.833333333334
141	0.0	6596.666666666667
142	0.0	12061.333333333334
143	1.0	-1.0
144	0.0	5123.5
145	0.0	9164.666666666666
146	0.0	4529.666666666667
147	0.0	6198.333333333333
148	0.0	10255.833333333334
149	0.0	27860.333333333332
150	0.0	12127.5
151	0.0	1299.3333333333333
152	0.0	35500.166666666664
153	0.0	4066.5
154	0.0	19964.5
155	0.0	4994.833333333333
156	1.0	-1.0
157	0.0	28681.666666666668
158	1.0	-1.0
159	0.0	30064.333333333332
160	0.0	1310.5
161	0.0	5905.0
162	0.0	671.0
163	1.0	-1.0
164	0.0	29614.666666666668
165	0.0	28800.0
166	0.0	17827.166666666668
167	0.0	7893.166666666667
168	1.0	-1.0
169	0.0	14830.833333333334
170	1.0	-1.0
171	1.0	-1.0
172	0.0	46016.833333333336
173	0.0	4759.0
174	0.0	3915.8333333333335
175	0.0	11827.5
176	0.0	20235.0
177	0.0	299.6666666666667
178	0.0	4908.0
179	0.0	680.0
180	0.0	457.1666666666667
181	0.0	6318.5
182	0.0	2495.3333333333335
183	0.0	21452.0
184	0.0	23621.5
185	0.0	16094.166666666666
186	0.0	692.8333333333334
187	0.0	16243.0
188	0.0	5343.333333333333
189	0.0	26887.5
190	0.0	29436.166666666668
191	1.0	-1.0
192	0.0	477.5
193	0.0	28177.333333333332
194	1.0	-1.0
195	0.0	988.3333333333334
196	0.0	2465.6666666666665
197	0.0	639.8333333333334
198	0.0	1943.0
199	0.0	2116.0
200	0.0	44797.666666666664
201	0.0	2415.0
202	0.0	3644.6666666666665
203	0.0	2064.1666666666665
204	0.0	4065.8333333333335
205	0.0	5704.833333333333
206	0.0	113.66666666666667
207	0.0	440.3333333333333
208	0.0	19517.166666666668
209	0.0	2021.3333333333333
210	0.0	1906.0
211	0.0	3348.0
212	0.0	3677.5
213	0.0	4950.166666666667
214	0.0	9884.666666666666
215	0.0	694.8333333333334
216	0.0	2751.0
217	0.0	1469.3333333333333
218	1.0	-1.0
219	0.0	18628.333333333332
220	0.0	15954.0
221	0.0	136.0
222	1.0	-1.0
223	0.0	81.5
224	0.0	2164.1666666666665
225	0.0	7726.666666666667
226	0.0	36139.833333333336
227	0.0	278.1666666666667
228	0.0	3348.8333333333335
229	0.0	3605.0
230	0.0	344.3333333333333
231	0.0	2361.6666666666665
232	0.0	204.33333333333334
233	0.0	1564.3333333333333
234	0.0	113.5
235	0.0	3696.0
236	0.0	761.8333333333334
237	0.0	32909.166666666664
238	1.0	-1.0
239	0.0	63.333333333333336
240	0.0	604.5
241	0.0	2511.3333333333335
242	0.0	4881.833333333333
243	0.0	2741.8333333333335
244	0.0	7450.0
245	0.0	759.1666666666666
246	0.0	276.5
247	0.0	622.0
248	0.0	105.16666666666667
249	0.0	482.0
250	0.0	990.1666666666666
251	0.0	1370.8333333333333
252	0.0	423.3333333333333
253	0.0	11272.0
254	0.0	215.83333333333334
255	0.0	1451.6666666666667
256	0.0	22555.166666666668
257	0.0	391.1666666666667
258	0.0	855.6666666666666
259	0.0	2633.0
260	0.0	343.5
261	0.0	130.5
262	0.0	18086.166666666668
263	0.0	869.5
264	0.0	156.16666666666666
265	0.0	164.83333333333334
266	0.0	18067.5
267	0.0	2446.1666666666665
268	0.0	1489.1666666666667
269	0.0	575.3333333333334
270	0.0	680.3333333333334
271	0.0	799.3333333333334
272	0.0	408.6666666666667
273	0.0	698.1666666666666
274	0.0	9960.5
275	0.0	3940.0
276	0.0	58909.666666666664
277	0.0	357.0
278	0.0	2520.3333333333335
279	0.0	476.8333333333333
280	0.0	1953.5
281	1.0	-1.0
282	0.0	37500.0
283	0.0	2894.3333333333335
284	0.0	187.0
285	0.0	55450.5
286	0.0	150.33333333333334
287	0.0	6175.666666666667
288	0.0	1395.0
289	0.0	239.83333333333334
290	0.0	17654.333333333332
291	0.0	20847.166666666668
292	0.0	16283.166666666666
293	1.0	-1.0
294	0.0	449.1666666666667
295	0.0	13017.833333333334
296	0.0	10597.0
297	0.0	840.0
298	0.0	4303.666666666667
299	0.0	27639.0
300	0.0	9399.666666666666
301	0.0	654.3333333333334
302	0.0	1177.0
303	0.0	1678.6666666666667
304	0.0	14894.666666666666
305	0.0	404.0
306	0.0	24994.5
307	0.0	4193.0
308	0.0	5656.5
309	0.0	35021.5
310	0.0	503.6666666666667
311	0.0	293.0
312	0.0	1332.0
313	0.0	3920.8333333333335
314	0.0	345.6666666666667
315	0.0	1130.0
316	0.0	5396.833333333333
317	0.0	5679.833333333333
318	0.0	2556.0
319	0.0	212.16666666666666
320	0.0	5019.5
321	0.0	898.3333333333334
322	0.0	5101.833333333333
323	0.0	51.5
324	0.0	905.6666666666666
325	0.0	11996.833333333334
326	0.0	742.3333333333334
327	0.0	3691.1666666666665
328	0.0	736.8333333333334
329	1.0	-1.0
330	0.0	259.0
331	0.0	17.833333333333332
332	0.0	765.5
333	0.0	35622.833333333336
334	0.0	2068.8333333333335
335	0.0	8188.166666666667
336	0.0	961.5
337	0.0	82.0
338	0.0	107.66666666666667
339	0.0	21689.5
