# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
"paper/Hard_2.sudoku"	1.0	0.0
"paper/Hard_16.sudoku"	1.0	0.0
"paper/Hard_51.sudoku"	1.0	0.0
"paper/Hard_22.sudoku"	1.0	0.0
"paper/Hard_35.sudoku"	1.0	0.0
"paper/Hard_80.sudoku"	1.0	0.0
"paper/Hard_46.sudoku"	1.0	0.0
"paper/Hard_17.sudoku"	1.0	0.0
"paper/Hard_9.sudoku"	1.0	0.0
"paper/Hard_61.sudoku"	1.0	0.0
"paper/Hard_76.sudoku"	1.0	0.0
"paper/Hard_84.sudoku"	1.0	0.0
"paper/Hard_14.sudoku"	1.0	0.0
"paper/Hard_53.sudoku"	1.0	0.0
"paper/Hard_92.sudoku"	1.0	0.0
"paper/Hard_87.sudoku"	1.0	0.0
"paper/Hard_54.sudoku"	1.0	0.0
"paper/Hard_8.sudoku"	1.0	0.0
"paper/Hard_71.sudoku"	1.0	0.0
"paper/Hard_20.sudoku"	1.0	0.0
"paper/Hard_89.sudoku"	1.0	0.0
"paper/Hard_83.sudoku"	1.0	0.0
"paper/Hard_15.sudoku"	1.0	0.0
"paper/Hard_58.sudoku"	1.0	0.0
"paper/Hard_75.sudoku"	1.0	0.0
"paper/Hard_88.sudoku"	1.0	0.0
"paper/Hard_27.sudoku"	1.0	0.0
"paper/Hard_32.sudoku"	1.0	0.0
"paper/Hard_98.sudoku"	1.0	0.0
"paper/Hard_4.sudoku"	1.0	0.0
"paper/Hard_24.sudoku"	1.0	0.0
"paper/Hard_5.sudoku"	1.0	0.0
"paper/Hard_62.sudoku"	1.0	0.0
"paper/Hard_28.sudoku"	1.0	0.0
"paper/Hard_55.sudoku"	1.0	0.0
"paper/Hard_59.sudoku"	1.0	0.0
"paper/Hard_25.sudoku"	1.0	0.0
"paper/Hard_63.sudoku"	1.0	0.0
"paper/Hard_95.sudoku"	1.0	0.0
"paper/Hard_40.sudoku"	1.0	0.0
"paper/Hard_70.sudoku"	1.0	0.0
"paper/Hard_66.sudoku"	1.0	0.0
"paper/Hard_72.sudoku"	1.0	0.0
"paper/Hard_73.sudoku"	1.0	0.0
"paper/Hard_41.sudoku"	1.0	0.0
"paper/Hard_50.sudoku"	1.0	0.0
"paper/Hard_64.sudoku"	1.0	0.0
"paper/Hard_30.sudoku"	1.0	0.0
"paper/Hard_100.sudoku"	1.0	0.0
"paper/Hard_12.sudoku"	1.0	0.0
"paper/Hard_13.sudoku"	1.0	0.0
"paper/Hard_47.sudoku"	1.0	0.0
"paper/Hard_78.sudoku"	1.0	0.0
"paper/Hard_39.sudoku"	1.0	0.0
"paper/Hard_68.sudoku"	1.0	0.0
"paper/Hard_45.sudoku"	1.0	0.0
"paper/Hard_91.sudoku"	1.0	0.0
"paper/Hard_99.sudoku"	1.0	0.0
"paper/Hard_96.sudoku"	1.0	0.0
"paper/Hard_48.sudoku"	1.0	0.0
"paper/Hard_60.sudoku"	1.0	0.0
"paper/Hard_86.sudoku"	1.0	0.0
"paper/Hard_7.sudoku"	1.0	0.0
"paper/Hard_94.sudoku"	1.0	0.0
"paper/Hard_57.sudoku"	1.0	0.0
"paper/Hard_97.sudoku"	1.0	0.0
"paper/Hard_21.sudoku"	1.0	0.0
"paper/Hard_67.sudoku"	1.0	0.0
"paper/Hard_65.sudoku"	1.0	0.0
"paper/Hard_49.sudoku"	1.0	0.0
"paper/Hard_93.sudoku"	1.0	0.0
"paper/Hard_74.sudoku"	1.0	0.0
"paper/Hard_85.sudoku"	1.0	0.0
"paper/Hard_56.sudoku"	1.0	0.0
"paper/Hard_43.sudoku"	1.0	0.0
"paper/Hard_82.sudoku"	1.0	0.0
"paper/Hard_18.sudoku"	1.0	0.0
"paper/Hard_19.sudoku"	1.0	0.0
"paper/Hard_31.sudoku"	1.0	0.0
"paper/Hard_38.sudoku"	1.0	0.0
"paper/Hard_52.sudoku"	1.0	0.0
"paper/Hard_3.sudoku"	1.0	0.0
"paper/Hard_44.sudoku"	1.0	0.0
"paper/Hard_29.sudoku"	1.0	0.0
"paper/Hard_36.sudoku"	1.0	0.0
"paper/Hard_1.sudoku"	1.0	0.0
"paper/Hard_81.sudoku"	1.0	0.0
"paper/Hard_33.sudoku"	1.0	0.0
"paper/Hard_23.sudoku"	1.0	0.0
"paper/Hard_11.sudoku"	1.0	0.0
"paper/Hard_79.sudoku"	1.0	0.0
"paper/Hard_77.sudoku"	1.0	0.0
"paper/Hard_90.sudoku"	1.0	0.0
"paper/Hard_26.sudoku"	1.0	0.0
"paper/Hard_6.sudoku"	1.0	0.0
"paper/Hard_37.sudoku"	1.0	0.0
"paper/Hard_10.sudoku"	1.0	0.0
"paper/Hard_69.sudoku"	1.0	0.0
"paper/Hard_34.sudoku"	1.0	0.0
"paper/Hard_42.sudoku"	1.0	0.0
