# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
0	0.0	2605.927519965917
1	1.0	0.0
2	1.0	0.0
3	0.0	659.3710579909384
4	0.0	1245.8732192171738
5	0.0	1521.4568165829405
6	0.0	3940.9312491770834
7	0.0	686.9070352986455
8	0.0	148.62574764993042
9	0.0	1157.2920007165521
10	0.0	949.5914760045707
11	1.0	0.0
12	0.0	445.7986489869654
13	0.0	132.76956928893924
14	0.0	899.3109333096072
15	1.0	0.0
16	0.0	1772.2043680259958
17	0.0	2081.474868929945
18	0.0	1657.0175992092118
19	0.0	898.6561495112255
20	1.0	0.0
21	0.0	469.4453898118809
22	0.0	1855.8696757536381
23	1.0	0.0
24	0.0	365.84685114212334
25	0.0	624.3494260124862
26	0.0	941.1576198181137
27	0.0	602.8027990832925
28	0.0	1638.8121076161042
29	0.0	3051.7831867327914
30	0.0	482.17150557320565
31	0.0	307.493478176184
32	0.0	1281.2094896798953
33	0.0	323.9592391764745
34	0.0	423.13397442921996
35	1.0	0.0
36	0.0	108.48232510033995
37	1.0	0.0
38	0.0	424.63079560548067
39	0.0	513.0340734031051
40	1.0	0.0
41	1.0	0.0
42	0.0	392.0710653765127
43	1.0	0.0
44	1.0	0.0
45	1.0	0.0
46	1.0	0.0
47	1.0	0.0
48	0.0	409.76862143725157
49	0.0	911.0906072892249
50	0.0	554.926662822254
51	1.0	0.0
52	0.0	975.6654537050053
53	1.0	0.0
54	1.0	0.0
55	1.0	0.0
56	0.0	1610.2528393967077
57	0.0	1239.173119654879
58	0.0	967.143596848473
59	1.0	0.0
60	1.0	0.0
61	1.0	0.0
62	0.0	2089.117462048307
63	1.0	0.0
64	1.0	0.0
65	1.0	0.0
66	1.0	0.0
67	0.0	688.6808152776212
68	1.0	0.0
69	0.0	588.9284412842244
70	0.0	1837.6502670580521
71	0.0	454.3589766835794
72	1.0	0.0
73	1.0	0.0
74	1.0	0.0
75	0.0	2845.1025183312595
76	1.0	0.0
77	0.0	1233.2453161943704
78	0.0	1018.4459941228852
79	0.0	1969.2926455754787
80	1.0	0.0
81	0.0	604.0469624567777
82	1.0	0.0
83	0.0	553.3696112688631
84	0.0	359.3524252064526
85	1.0	0.0
86	0.0	725.2846538322046
87	0.0	6143.241180223413
88	1.0	0.0
89	0.0	244.00465213693678
90	0.0	290.00112833455205
91	0.0	1277.8699927730486
92	1.0	0.0
93	1.0	0.0
94	0.0	462.9905424080789
95	1.0	0.0
96	1.0	0.0
97	1.0	0.0
98	0.0	2321.2356424191967
99	0.0	937.3887865804136
100	1.0	0.0
101	0.0	446.3159308070317
102	0.0	921.6628760332242
103	1.0	0.0
104	1.0	0.0
105	0.0	1021.5673901839182
106	0.0	164.99840340111405
107	0.0	546.1485798005015
108	0.0	170.2143942238763
109	1.0	0.0
110	1.0	0.0
111	0.0	3597.5879785837606
112	1.0	0.0
113	1.0	0.0
114	0.0	840.8098774962127
115	0.0	1137.7864816458896
116	0.0	658.8255077367648
117	0.0	1067.478092503734
118	0.0	943.0193098960444
119	0.0	267.62605202384293
120	0.0	562.9706917097792
121	0.0	93.35846081376076
122	0.0	352.036019670777
123	0.0	896.6652258532122
124	1.0	0.0
125	0.0	833.3017212571576
126	0.0	410.21880437619984
127	1.0	0.0
128	1.0	0.0
129	1.0	0.0
130	0.0	609.17557857465
131	1.0	0.0
132	0.0	897.7480250177905
133	1.0	0.0
134	1.0	0.0
135	0.0	1184.4041011063382
136	0.0	1759.9292307859287
137	0.0	451.5915400115773
138	0.0	317.2158986562863
139	0.0	1094.9908199254423
140	1.0	0.0
141	0.0	3181.823488906957
142	0.0	3679.172557545826
143	0.0	699.3348960531875
144	0.0	2491.1011941730976
145	0.0	584.8509547067806
146	0.0	263.31117132212967
147	0.0	619.7484312579036
148	0.0	592.5148637033999
149	1.0	0.0
